Card Name,Post-Acquisition Winrate,Post-Acquisition Record,Total Post-Acquisition Matches,Pools Opened In
Robotics Mastery,48.92,68-71,139,10
Wrangler of the Damned,48.91,45-47,92,8
Caustic Bronco,48.89,22-23,45,3
Galadhrim Guide,48.88,109-114,223,19
North Pole Gates,48.84,42-44,86,8
Three Steps Ahead,48.84,21-22,43,4
"Michelangelo, Mutant BFF",48.84,42-44,86,8
Razzle-Dazzler,48.83,125-131,256,19
H.E.R.B.I.E. Scout Unit,48.81,821-861,1682,98
Negate,48.78,40-42,82,13
True Ancestry,48.76,59-62,121,10
Airtight Alibi,48.75,117-123,240,19
"Captain America, Living Legend",48.72,401-422,823,50
Baxter Stockman,48.72,19-20,39,8
Mysterio's Phantasm,48.7,150-158,308,28
Madame Masque,48.67,439-463,902,51
Super Strength,48.65,702-741,1443,88
Presumed Dead,48.65,18-19,37,4
Mirrormere Guardian,48.65,108-114,222,15
Flotsam // Jetsam,48.65,18-19,37,5
Jennifer Walters // The Sensational She-Hulk,48.64,107-113,220,12
Atlantis Attacks,48.62,774-818,1592,96
Loxodon Eavesdropper,48.61,35-37,72,6
Tenth District Hero,48.61,35-37,72,4
Illegitimate Business,48.59,86-91,177,18
Gravestone Strider,48.55,84-89,173,13
"Hawkeye, Young Avenger",48.54,399-423,822,52
Take the Fall,48.54,50-53,103,10
Unfortunate Accident,48.53,33-35,68,4
"Spiders-Man, Heroic Horde",48.51,65-69,134,10
"Justice, Vance Astrovik",48.5,405-430,835,55
Roxxon Brutes,48.48,684-727,1411,89
Dimensional Exile,48.48,32-34,66,7
Long List of the Ents,48.48,32-34,66,4
Hard Evidence (PLST) MH2-46,48.48,16-17,33,2
Ankle Biter,48.47,95-101,196,14
Auspicious Arrival,48.44,109-116,225,17
Glorious Gale,48.44,31-33,64,7
Gadget Technician,48.41,61-65,126,11
Foot Headquarters,48.39,105-112,217,21
Eliminate the Impossible,48.39,15-16,31,3
Museum Nightwatch,48.37,89-95,184,14
Relentless Rohirrim,48.37,89-95,184,16
Erebor Flamesmith,48.34,73-78,151,12
Cycle of Renewal,48.31,57-61,118,9
Makeshift Binding,48.31,57-61,118,10
Maximum Carnage,48.28,28-30,58,5
"Krang, Master Mind",48.28,14-15,29,3
Guac & Marshmallow Pizza,48.26,83-89,172,16
"Gollum, Patient Plotter",48.25,55-59,114,11
Branch of Vitu-Ghazi,48.19,40-43,83,6
Soothing of Sméagol,48.16,118-127,245,17
"Bumi, King of Three Trials",48.15,26-28,54,4
Massacre Girl,48.15,26-28,54,3
Earth Rumble Wrestlers,48.11,102-110,212,16
Helicarrier Strike,48.08,753-813,1566,95
Fire Nation Engineer,48.08,25-27,52,4
Fated Firepower,48.08,25-27,52,4
Honest Rutstein,48.05,37-40,77,8
It'll Quench Ya!,48.02,109-118,227,19
World War Hulk,48.0,204-221,425,26
Sample Collector,48.0,12-13,25,4
The Battle of Bywater,48.0,12-13,25,2
Super Speed,47.98,737-799,1536,95
Azula Always Lies,47.98,83-90,173,18
Pet Avengers,47.97,709-769,1478,88
"Colleen Wing, Street Samurai",47.96,412-447,859,51
Hell's Kitchen,47.96,306-332,638,45
"Tombstone, Career Criminal",47.96,47-51,98,10
Rumble Arena,47.95,70-76,146,12
Dai Li Agents,47.95,35-38,73,6
Training Compound,47.92,219-238,457,30
"Lord Dregg, Insect Invader",47.92,23-25,48,7
The Key to the Vault,47.92,23-25,48,3
Cruel Alliance,47.91,676-735,1411,84
"Nick Fury, Agent of S.H.I.E.L.D.",47.91,195-212,407,27
Vision Quest,47.89,136-148,284,19
"Bullseye, Death Dealer",47.88,395-430,825,51
Fisk Tower,47.87,428-466,894,57
Shelob's Ambush,47.87,90-98,188,17
Sheriff of Safe Passage,47.87,45-49,94,9
Foggy Bottom Swamp,47.86,67-73,140,10
University Campus,47.85,100-109,209,15
Burden of Proof,47.83,22-24,46,3
"Éowyn, Fearless Knight",47.83,11-12,23,2
Aang's Journey,47.81,109-119,228,21
Hero in Training,47.8,760-830,1590,99
Geyser Drake,47.8,76-83,159,12
Shifting Grift,47.79,65-71,136,12
Stop Cold,47.78,97-106,203,16
Make Your Move,47.77,118-129,247,28
"Titania, Rugged Rumbler",47.77,310-339,649,40
Fire Nation Cadets,47.75,106-116,222,19
"Kang, Temporal Tyrant",47.7,415-455,870,55
Old Man Willow,47.69,31-34,65,5
"Ant-Man, Colony Commander",47.68,359-394,753,44
Mighty Mutanimals,47.67,41-45,86,9
Octopus Form,47.66,112-123,235,20
"Donatello, Turtle Techie",47.66,51-56,107,10
"Viv Vision, Teen Synthezoid",47.64,323-355,678,42
Dependable Quinjet,47.63,634-697,1331,87
Firebender Ascension,47.62,30-33,63,5
Saved by the Shell,47.62,10-11,21,4
Commandeer,47.62,20-22,42,4
"Iron Man, Titan of Innovation",47.62,10-11,21,1
Baron Helmut Zemo,47.6,109-120,229,18
Costume Closet,47.59,69-76,145,13
Mirkwood Spider,47.59,79-87,166,12
Cold Case Cracker,47.59,69-76,145,12
Lassoed by the Law,47.58,59-65,124,9
"Moonstone, Harsh Mistress",47.55,310-342,652,41
Stark Industries,47.55,495-546,1041,63
Tumbleweed Rising,47.54,58-64,122,9
Sanitation Automaton,47.52,48-53,101,8
Hour of Defeat,47.51,620-685,1305,79
Restorative Technique,47.51,724-800,1524,93
Great Hall of the Citadel,47.51,86-95,181,13
Lórien Revealed,47.5,95-105,200,17
Mordor Muster,47.5,57-63,120,11
Oscorp Research Team,47.47,103-114,217,18
"Red Guardian, Super-Soldier",47.44,352-390,742,46
Spider-Sense,47.44,37-41,78,5
"Taskmaster, Mercenary Mimic",47.44,222-246,468,30
Spicy Oatmeal Pizza,47.44,37-41,78,7
Savage Land Dinosaur,47.43,746-827,1573,99
