Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Zuko's Exile (Copy 2),45.9,27.27,6-16,22,3
Trickster's Stratagem (Copy 1),45.89,45.63,725-864,1589,99
Agency Coroner (Copy 1),45.88,41.49,39-55,94,11
Borough Backup (Copy 1),45.88,45.61,707-843,1550,98
Swamp (Copy 4),45.88,41.49,39-55,94,10
"Captain America, Living Legend (Copy 2)",45.88,40.0,28-42,70,7
"Black Widow, Double Agent (Copy 2)",45.88,40.0,28-42,70,7
Prismatic Vista (Copy 1),45.87,0.0,0-9,9,1
"Jem Lightfoote, Sky Explorer (Copy 1)",45.87,0.0,0-9,9,2
Otter-Penguin (Copy 2),45.87,0.0,0-9,9,2
Kraven's Cats (Copy 3),45.87,0.0,0-9,9,2
Elven Chorus (Copy 1),45.87,0.0,0-9,9,1
Heartbeat of Spring (Copy 1),45.87,0.0,0-9,9,1
Avatar Enthusiasts (Copy 2),45.87,0.0,0-9,9,1
Geyser Leaper (Copy 2),45.87,0.0,0-9,9,1
Combustion Technique (Copy 2),45.87,0.0,0-9,9,1
Blooming Marsh (Copy 1),45.86,40.74,33-48,81,7
"Beetle, Legacy Criminal (Copy 1)",45.85,44.0,99-126,225,22
Ka-Zar of the Savage Land (Copy 1),45.84,45.27,330-399,729,48
Team Tactics (Copy 1),45.84,45.32,358-432,790,51
A.I.M. Scientists (Copy 2),45.83,44.92,208-255,463,38
Electro's Bolt (Copy 1),45.83,44.07,104-132,236,25
Sudden Strike (Copy 1),45.83,42.24,49-67,116,13
"Spider-Man, Brooklyn Visionary (Copy 1)",45.83,44.23,115-145,260,19
Easterling Vanguard (Copy 1),45.83,43.62,82-106,188,16
Surgical Extraction (Copy 1),45.83,25.0,5-15,20,3
Master Pakku (Copy 1),45.83,39.71,27-41,68,6
"Daredevil, Man Without Fear (Copy 1)",45.82,44.76,175-216,391,24
Rock Soldiers (Copy 1),45.82,43.72,87-112,199,21
Raucous Audience (Copy 1),45.81,43.81,92-118,210,18
Stone of Erech (Copy 1),45.81,38.18,21-34,55,4
Plains (Copy 4),45.81,40.51,32-47,79,11
Forecasting Fortune Teller (Copy 1),45.8,43.55,81-105,186,18
Rattleback Apothecary (Copy 1),45.8,32.26,10-21,31,3
Stern Scolding (Copy 1),45.79,41.11,37-53,90,7
Snarling Gorehound (Copy 1),45.78,42.4,53-72,125,11
"Mockingbird, Ace Agent (Copy 2)",45.78,39.39,26-40,66,6
Machinesmith Automaton (Copy 3),45.78,39.39,26-40,66,6
Surveillance Room (Copy 3),45.78,39.39,26-40,66,8
"Hellcat, Undying Vigilante (Copy 1)",45.77,45.29,404-488,892,57
Foot Elite (Copy 1),45.77,43.12,69-91,160,16
Shadowy Backstreet (Copy 1),45.76,22.22,4-14,18,2
"Flash Thompson, Spider-Fan (Copy 1)",45.76,40.26,31-46,77,9
Jennika's Technique (Copy 1),45.76,40.26,31-46,77,8
Fiery Inscription (Copy 1),45.76,22.22,4-14,18,2
Guerrilla Gorilla (Copy 1),45.75,45.48,719-862,1581,100
"Marchesa, Dealer of Death (Copy 1)",45.74,31.03,9-20,29,3
Turtle Power! (Copy 1),45.74,31.03,9-20,29,4
Jace Reawakened (Copy 1),45.74,31.03,9-20,29,3
Fire Nation Attacks (Copy 1),45.73,42.54,57-77,134,11
"Spider-Man, Web-Slinger (Copy 1)",45.73,43.52,84-109,193,19
"Wiccan, Rising Magician (Copy 1)",45.72,45.24,409-495,904,56
The Kingpin of Crime (Copy 1),45.71,44.85,222-273,495,31
Isolation at Orthanc (Copy 1),45.71,43.72,94-121,215,18
Ruinous Waterbending (Copy 1),45.71,42.76,62-83,145,11
Frozen in Ice (Copy 1),45.7,45.43,731-878,1609,102
HYDRA Infiltration (Copy 1),45.7,45.38,604-727,1331,85
Foray of Orcs (Copy 1),45.7,37.25,19-32,51,6
Hedge Maze (Copy 1),45.69,18.75,3-13,16,2
Mechanized Ninja Cavalry (Copy 2),45.69,18.75,3-13,16,3
"Spider-Woman, Stunning Savior (Copy 1)",45.69,18.75,3-13,16,2
Claim the Kingdom (Copy 1),45.68,45.1,336-409,745,48
"Agent 13, Sharon Carter (Copy 2)",45.68,38.71,24-38,62,4
HYDRA Assault Robot (Copy 2),45.67,44.48,161-201,362,27
"Toph, Hardheaded Teacher (Copy 1)",45.67,29.63,8-19,27,2
Lightning Strike (Copy 1),45.66,45.41,781-939,1720,113
Destined Confrontation (Copy 1),45.66,39.73,29-44,73,5
"Whiplash, Vengeful Engineer (Copy 1)",45.65,45.03,317-387,704,46
Agent Venom (Copy 1),45.65,34.21,13-25,38,3
"Captain Mar-Vell, Space-Born (Copy 1)",45.64,44.85,248-305,553,40
"Chameleon, Master of Disguise (Copy 1)",45.64,42.55,60-81,141,12
Firebending Lesson (Copy 1),45.64,41.05,39-56,95,8
Scroll of Isildur (Copy 1),45.64,36.73,18-31,49,6
Irascible Wolverine (Copy 1),45.64,42.55,60-81,141,13
Heroes' Hangout (Copy 1),45.62,41.88,49-68,117,13
No More Lies (Copy 1),45.62,38.33,23-37,60,6
Bold Biochemist (Copy 3),45.62,38.33,23-37,60,6
"Shredder, Unrelenting (Copy 1)",45.61,39.44,28-43,71,7
Helicarrier Strike (Copy 4),45.61,14.29,2-12,14,2
Rapid Rescue (Copy 2),45.6,44.62,199-247,446,33
Super-Soldier Serum (Copy 1),45.6,44.28,147-185,332,21
"Appa, Loyal Sky Bison (Copy 1)",45.6,28.0,7-18,25,4
Leader's Talent (Copy 1),45.6,28.0,7-18,25,4
"Crossbones, Malicious Mercenary (Copy 1)",45.59,44.95,307-376,683,48
Powerful Broker (Copy 3),45.59,33.33,12-24,36,5
Guerrilla Gorilla (Copy 3),45.59,33.33,12-24,36,4
Wizard's Rockets (Copy 1),45.58,43.17,79-104,183,19
Epic Fight (Copy 1),45.58,43.82,110-141,251,20
Razor Rings (Copy 1),45.57,43.61,99-128,227,17
Metalhead (Copy 1),45.57,37.93,22-36,58,9
Monstrous Rage (Copy 1),45.54,8.33,1-11,12,1
Steel Wrecking Ball (Copy 2),45.54,8.33,1-11,12,2
The Legend of Kuruk // Avatar Kuruk (Copy 2),45.54,8.33,1-11,12,1
We Say Thee Nay! (Copy 4),45.54,8.33,1-11,12,1
Audience with Trostani (Copy 1),45.53,26.09,6-17,23,3
Swampsnare Trap (Copy 1),45.53,42.68,67-90,157,17
Hero in Training (Copy 2),45.52,44.52,199-248,447,33
We Say Thee Nay! (Copy 2),45.52,44.54,204-254,458,37
Professional Wrestler (Copy 1),45.52,43.02,77-102,179,16
Ninja of the Hand (Copy 3),45.52,32.35,11-23,34,5
Quarrel's End (Copy 1),45.52,42.86,72-96,168,13
Galadriel of Lothlórien (Copy 1),45.52,35.56,16-29,45,5
We Say Thee Nay! (Copy 1),45.51,45.2,655-794,1449,91
Avengers Hangar (Copy 2),45.51,39.74,31-47,78,7
Horses of the Bruinen (Copy 1),45.51,39.74,31-47,78,6
Heartless Act (Copy 1),45.51,37.5,21-35,56,6
Insectoid Exterminator (Copy 1),45.5,40.45,36-53,89,9
"Quake, Agent of S.H.I.E.L.D. (Copy 1)",45.49,44.75,273-337,610,39
Peter Parker // Amazing Spider-Man (Copy 1),45.45,0.0,0-10,10,2
Kyoshi Village (Copy 1),45.45,39.47,30-46,76,8
"White Tiger, Ava Ayala (Copy 3)",45.45,0.0,0-10,10,1
"Zhao, Ruthless Admiral (Copy 1)",45.45,0.0,0-10,10,2
Spinneret and Spiderling (Copy 1),45.45,34.88,15-28,43,4
The Masters of Evil (Copy 1),45.43,44.93,412-505,917,59
K'un-Lun Warrior (Copy 1),45.42,45.16,769-934,1703,108
Toxin Analysis (Copy 1),45.42,42.93,79-105,184,14
"Ares, God of War (Copy 1)",45.41,44.05,148-188,336,23
Depower (Copy 3),45.41,41.53,49-69,118,9
Truck Toss (Copy 2),45.41,40.0,34-51,85,7
Project Deathlok Soldier (Copy 2),45.4,43.63,113-146,259,19
Combustion Man (Copy 1),45.4,38.1,24-39,63,5
Kingpin's Enforcers (Copy 2),45.4,44.53,236-294,530,37
Spider-Bot (Copy 1),45.38,43.73,122-157,279,24
Sold Out (Copy 2),45.38,30.0,9-21,30,3
North Pole Patrol (Copy 1),45.38,30.0,9-21,30,4
Wall Crawl (Copy 1),45.38,42.28,63-86,149,13
Sokka's Haiku (Copy 1),45.38,21.05,4-15,19,2
Isolation at Orthanc (Copy 2),45.38,21.05,4-15,19,3
"Tinybones, the Pickpocket (Copy 1)",45.38,21.05,4-15,19,3
Meriadoc Brandybuck (Copy 1),45.37,41.73,53-74,127,11
"Winter Soldier, Icy Assassin (Copy 1)",45.37,44.29,190-239,429,28
Errand-Rider of Gondor (Copy 1),45.37,40.95,43-62,105,9
Kingpin's Enforcers (Copy 1),45.34,45.07,768-936,1704,104
"Quicksilver, Brash Blur (Copy 1)",45.34,44.13,169-214,383,28
Took Reaper (Copy 1),45.34,43.24,96-126,222,19
Mouser Foundry (Copy 1),45.34,43.24,96-126,222,23
Bebop & Rocksteady (Copy 1),45.32,33.33,13-26,39,4
Swamp (Copy 2),45.3,44.77,398-491,889,73
Improvised Club (Copy 1),45.3,41.79,56-78,134,11
"Black Widow, Super Spy (Copy 1)",45.3,42.93,85-113,198,13
"Bristly Bill, Spine Sower (Copy 1)",45.3,17.65,3-14,17,2
"Anzrag, the Quake-Mole (Copy 1)",45.3,17.65,3-14,17,2
Unliving Legionnaire (Copy 1),45.29,44.97,680-832,1512,99
Barrow-Blade (Copy 1),45.29,38.57,27-43,70,5
Consuming Ashes (Copy 1),45.28,43.46,113-147,260,22
Murdock's Crusade (Copy 1),45.27,44.95,667-817,1484,94
Atlantean Cavalry (Copy 2),45.27,44.22,199-251,450,33
Rough Rhino Cavalry (Copy 1),45.27,41.96,60-83,143,13
"Vulture, Scheming Scavenger (Copy 1)",45.27,40.59,41-60,101,9
"Ant-Man, Colony Commander (Copy 2)",45.26,42.53,74-100,174,15
Selfless Police Captain (Copy 1),45.26,43.49,117-152,269,24
Island (Copy 1),45.25,45.03,937-1144,2081,133
Serpent Specialist (Copy 1),45.25,44.94,693-849,1542,101
Tale of Tinúviel (Copy 1),45.25,39.24,31-48,79,7
"Mockingbird, Ace Agent (Copy 1)",45.24,44.64,354-439,793,50
"She-Hulk, Jade Defender (Copy 1)",45.24,44.54,302-376,678,42
Dust Animus (Copy 1),45.24,38.24,26-42,68,7
Featherbrained Filcher (Copy 1),45.24,38.24,26-42,68,9
Hour of Defeat (Copy 2),45.23,43.62,130-168,298,24
Vision of Love (Copy 2),45.23,44.18,201-254,455,35
Decoy Ploy (Copy 1),45.22,44.83,551-678,1229,83
"Stature, Size Shifter (Copy 1)",45.22,44.61,352-437,789,50
Simulacrum Synthesizer (Copy 1),45.22,13.33,2-13,15,2
Crimson Operative (Copy 1),45.21,44.9,691-848,1539,97
Orcish Medicine (Copy 1),45.21,42.71,82-110,192,16
Shady Informant (Copy 1),45.2,42.54,77-104,181,15
Hot Dog Cart (Copy 1),45.19,43.43,119-155,274,25
The Earth King (Copy 1),45.19,31.43,11-24,35,4
Outcaster Greenblade (Copy 1),45.19,31.43,11-24,35,5
Soured Springs (Copy 1),45.18,37.88,25-41,66,6
A.I.M. Synthoids (Copy 2),45.18,44.3,245-308,553,40
Ioreth of the Healing House (Copy 1),45.18,41.41,53-75,128,9
Giant Koi (Copy 1),45.16,42.86,90-120,210,18
"Calamity, Galloping Inferno (Copy 1)",45.16,25.0,6-18,24,3
Spider-Man India (Copy 1),45.16,39.53,34-52,86,8
"Ironheart, Clever Champion (Copy 1)",45.16,43.15,104-137,241,18
Nimble Hobbit (Copy 1),45.16,42.86,90-120,210,18
Cactusfolk Sureshot (Copy 1),45.16,39.53,34-52,86,8
S.H.I.E.L.D. Helicarrier (Copy 1),45.14,44.49,331-413,744,49
Cryptic Coat (Copy 1),45.14,34.09,15-29,44,5
Pick Your Poison (Copy 1),45.14,38.67,29-46,75,7
Vraska Joins Up (Copy 1),45.14,34.09,15-29,44,5
Prince Imrahil the Fair (Copy 1),45.12,37.5,24-40,64,6
Giant Growth (Copy 1),45.11,44.8,706-870,1576,95
HULK SMASH! (Copy 3),45.11,39.29,33-51,84,7
Projektor Inspector (Copy 2),45.11,30.3,10-23,33,3
Omashu City (Copy 1),45.1,35.85,19-34,53,5
Vitu-Ghazi Inspector (Copy 1),45.09,43.09,106-140,246,20
"June, Bounty Hunter (Copy 1)",45.09,38.36,28-45,73,6
"Killmonger, Scourge of Wakanda (Copy 2)",45.08,22.73,5-17,22,2
Lost in the Maze (Copy 1),45.07,33.33,14-28,42,5
Cast into the Fire (Copy 1),45.06,41.83,64-89,153,17
Ozai's Cruelty (Copy 1),45.06,37.1,23-39,62,8
Stolen Stark Tech (Copy 1),45.05,44.75,742-916,1658,105
Common Crook (Copy 1),45.05,42.72,91-122,213,21
Soldier of the Grey Host (Copy 1),45.05,42.2,73-100,173,13
The Wondrous Wasp (Copy 2),45.05,0.0,0-11,11,1
Don't Move (Copy 1),45.05,0.0,0-11,11,1
Spider-Islanders (Copy 2),45.05,0.0,0-11,11,2
A.I.M. Scientists (Copy 1),45.04,44.73,722-892,1614,102
Magnetic Snuffler (Copy 1),45.04,29.03,9-22,31,6
Broadcast Takeover (Copy 1),45.04,29.03,9-22,31,3
The Scarlet Witch (Copy 1),45.04,43.45,136-177,313,19
Outlaw Stitcher (Copy 1),45.03,39.56,36-55,91,9
Fire Lord Zuko (Copy 1),45.03,38.03,27-44,71,7
Brave Brawler (Copy 1),45.02,44.7,691-855,1546,96
Mechanical Mobster (Copy 1),45.0,42.92,103-137,240,20
Push // Pull (Copy 1),45.0,20.0,4-16,20,4
K'un-Lun Warrior (Copy 3),45.0,40.83,49-71,120,9
Wojek Investigator (Copy 1),45.0,20.0,4-16,20,2
Stew the Coneys (Copy 1),45.0,32.5,13-27,40,5
"Mister Fantastic, Reed Richards (Copy 1)",44.99,44.42,386-483,869,56
Alien Invasion (Copy 1),44.99,43.47,143-186,329,23
Take Up the Shield (Copy 1),44.98,44.64,675-837,1512,97
Otter-Penguin (Copy 1),44.98,42.33,80-109,189,20
"Okoye, Dora Milaje Leader (Copy 2)",44.98,41.61,62-87,149,11
Contagion Engine (Copy 1),44.97,34.69,17-32,49,4
The Neutrinos (Copy 1),44.97,34.69,17-32,49,5
"Iroh, Grand Lotus (Copy 1)",44.97,34.69,17-32,49,4
Super Suit (Copy 2),44.94,43.65,172-222,394,32
Wolfbat (Copy 1),44.94,38.46,30-48,78,7
Skateboard (Copy 1),44.94,38.46,30-48,78,10
"Reptil, Dinomorpher (Copy 1)",44.92,44.16,295-373,668,47
Bagel and Schmear (Copy 1),44.92,42.44,87-118,205,19
Treetop Freedom Fighters (Copy 1),44.91,40.52,47-69,116,12
Decisive Denial (Copy 1),44.91,37.31,25-42,67,4
Peerless Ropemaster (Copy 1),44.9,42.27,82-112,194,17
Guru Pathik (Copy 1),44.9,39.58,38-58,96,9
"Doc Aurlock, Grizzled Genius (Copy 1)",44.9,34.04,16-31,47,5
"Baron Strucker, HYDRA Overlord (Copy 1)",44.89,44.16,310-392,702,45
I Am Iron Man (Copy 2),44.89,43.8,205-263,468,39
"Ms. Marvel, Kamala Khan (Copy 1)",44.88,43.06,121-160,281,18
Willow-Wind (Copy 1),44.88,42.36,86-117,203,19
"Delney, Streetwise Lookout (Copy 1)",44.88,25.93,7-20,27,2
A.I.M. Synthoids (Copy 1),44.87,44.56,729-907,1636,100
Shredder's Revenge (Copy 1),44.85,42.29,85-116,201,18
Nimrodel Watcher (Copy 1),44.85,42.86,111-148,259,21
Amazing Acrobatics (Copy 1),44.84,42.38,89-121,210,21
Raucous Theater (Copy 1),44.81,35.19,19-35,54,6
Protector of Gondor (Copy 1),44.81,35.19,19-35,54,7
Great Divide Guide (Copy 1),44.8,24.0,6-19,25,3
"Living Brain, Mechanical Marvel (Copy 1)",44.8,40.5,49-72,121,12
"Black Panther, Vanguard (Copy 1)",44.79,44.11,341-432,773,52
"Swordsman, Sharp Scoundrel (Copy 1)",44.78,44.1,340-431,771,50
Lightning Strike (Copy 3),44.78,39.6,40-61,101,11
Mongoose Lizard (Copy 1),44.77,41.01,57-82,139,14
"Ghost, Spectral Saboteur (Copy 1)",44.77,44.18,395-499,894,57
Surrounded by Orcs (Copy 1),44.77,42.23,87-119,206,19
Panther Pounce (Copy 1),44.76,44.37,591-741,1332,87
Out Cold (Copy 1),44.76,41.22,61-87,148,12
Mouser Mark III (Copy 1),44.76,41.22,61-87,148,17
Avatar Enthusiasts (Copy 1),44.75,40.34,48-71,119,11
Shadow Summoning (Copy 1),44.74,7.14,1-13,14,2
Steel Wrecking Ball (Copy 1),44.73,42.25,90-123,213,21
Many Partings (Copy 1),44.72,42.34,94-128,222,20
Super-Skrull (Copy 2),44.72,36.07,22-39,61,4
"The Boulder, Ready to Rumble (Copy 1)",44.72,21.74,5-18,23,4
Hypothesizzle (Copy 1),44.7,28.12,9-23,32,3
Unscrupulous Contractor (Copy 1),44.69,37.97,30-49,79,10
Cat-Gator (Copy 1),44.69,37.97,30-49,79,8
Wose Pathfinder (Copy 1),44.68,40.74,55-80,135,13
"Venus, Torn Between Worlds (Copy 1)",44.68,31.71,13-28,41,4
"Kraum, Violent Cacophony (Copy 1)",44.68,31.71,13-28,41,4
Sun-Blessed Peak (Copy 1),44.67,39.18,38-59,97,9
Island (Copy 2),44.66,44.11,427-541,968,77
Gold Pan (Copy 1),44.66,41.36,67-95,162,14
The Spot's Portal (Copy 1),44.65,40.0,46-69,115,12
Voidslime (Copy 1),44.64,0.0,0-12,12,2
Hog-Monkey (Copy 2),44.64,0.0,0-12,12,2
Mouser Attack! (Copy 2),44.63,19.05,4-17,21,4
The Kingpin of Crime (Copy 2),44.62,26.67,8-22,30,2
Culvert Ambusher (Copy 1),44.62,26.67,8-22,30,3
Uruk-hai Berserker (Copy 1),44.61,41.42,70-99,169,12
Tolls of War (Copy 1),44.6,30.77,12-27,39,4
Super Villain Lockup (Copy 1),44.6,43.74,276-355,631,45
"Iroh, Tea Master (Copy 1)",44.6,30.77,12-27,39,5
Mirror of Galadriel (Copy 1),44.6,30.77,12-27,39,4
Gallant Citizen (Copy 1),44.59,42.71,123-165,288,26
Kid Loki (Copy 1),44.59,43.8,300-385,685,46
"Sméagol, Helpful Guide (Copy 1)",44.59,35.09,20-37,57,5
"Black Widow, Double Agent (Copy 1)",44.58,43.91,353-451,804,54
Loan Shark (Copy 1),44.58,40.94,61-88,149,14
Enraged Huorn (Copy 1),44.58,40.71,57-83,140,12
Birthday Escape (Copy 1),44.57,37.33,28-47,75,8
Curious Farm Animals (Copy 1),44.56,38.71,36-57,93,10
Baron Bertram Graywater (Copy 1),44.55,39.64,44-67,111,8
Spinewoods Paladin (Copy 1),44.54,40.58,56-82,138,14
"Invisible Woman, Sue Storm (Copy 2)",44.54,40.31,52-77,129,11
Dark Deed (Copy 1),44.53,43.74,304-391,695,48
Leyline of the Guildpact (Copy 1),44.53,29.73,11-26,37,3
Elegant Parlor (Copy 1),44.53,25.0,7-21,28,3
Thunderbolts Conspiracy (Copy 1),44.52,42.9,145-193,338,23
"Azula, On the Hunt (Copy 1)",44.51,36.99,27-46,73,7
Tomb Trawler (Copy 1),44.5,38.46,35-56,91,8
Rune-Brand Juggler (Copy 1),44.5,39.45,43-66,109,8
Vibranium Energy Daggers (Copy 1),44.48,44.11,651-825,1476,92
Go Nuts! (Copy 1),44.47,44.07,621-788,1409,89
"The Thing, Ben Grimm (Copy 1)",44.47,43.83,380-487,867,55
Ninja of the Hand (Copy 2),44.44,42.77,142-190,332,24
Hermitic Herbalist (Copy 1),44.44,35.48,22-40,62,7
Training Regimen (Copy 2),44.44,39.25,42-65,107,9
Sam's Desperate Rescue (Copy 1),44.44,40.3,54-80,134,13
Aerial Doombot (Copy 1),44.42,44.04,635-807,1442,94
HYDRA Troopers (Copy 1),44.42,44.04,646-821,1467,99
Morgul-Knife Wound (Copy 1),44.4,41.24,73-104,177,15
Prison Break (Copy 1),44.39,38.54,37-59,96,12
"Iron Fist, Living Weapon (Copy 1)",44.39,43.58,302-391,693,49
Mutant Town Musicians (Copy 1),44.39,39.84,49-74,123,15
Walltop Sentries (Copy 1),44.39,39.47,45-69,114,14
Agents of HYDRA (Copy 2),44.38,43.12,191-252,443,40
"Ronin, Shadow Stalker (Copy 1)",44.38,43.46,266-346,612,41
Ultron Drone (Copy 1),44.37,44.01,691-879,1570,98
"Quickbeam, Upstart Ent (Copy 1)",44.37,33.33,17-34,51,6
Fin Fang Foom (Copy 1),44.37,42.86,159-212,371,25
Bandit's Haul (Copy 1),44.37,33.33,17-34,51,5
Purple Dragon Punks (Copy 1),44.36,40.96,68-98,166,17
Ent's Fury (Copy 1),44.36,40.96,68-98,166,14
"Koh, the Face Stealer (Copy 1)",44.35,20.83,5-19,24,3
"Merry, Esquire of Rohan (Copy 1)",44.35,6.67,1-14,15,2
Swamp (Copy 5),44.35,6.67,1-14,15,3
S.H.I.E.L.D. Helicarrier (Copy 2),44.34,39.29,44-68,112,7
"Shuri, Wakandan Inventor (Copy 1)",44.33,43.59,333-431,764,50
Whoosh! (Copy 1),44.3,41.55,86-121,207,21
Depower (Copy 1),44.29,43.95,737-940,1677,108
"Mister Hyde, Monster Within (Copy 2)",44.29,30.0,12-28,40,4
Subterranean Cavern (Copy 2),44.28,38.61,39-62,101,11
Training Regimen (Copy 1),44.27,43.61,379-490,869,57
Knights of Dol Amroth (Copy 2),44.27,25.81,8-23,31,3
Lembas (Copy 1),44.26,40.0,54-81,135,15
Treacherous Greed (Copy 1),44.26,18.18,4-18,22,3
Waterbending Lesson (Copy 1),44.24,40.83,69-100,169,17
Forest (Copy 1),44.24,43.96,895-1141,2036,140
Captain America's Shield (Copy 1),44.23,42.86,180-240,420,28
Serpent's Pass (Copy 1),44.21,40.14,57-85,142,11
School Daze (Copy 1),44.2,39.52,49-75,124,11
Vibranium Energy Daggers (Copy 3),44.2,28.95,11-27,38,6
"Doc Samson, Super Psychiatrist (Copy 2)",44.17,38.68,41-65,106,8
Rush the Room (Copy 1),44.17,40.98,75-108,183,16
Council's Deliberation (Copy 1),44.15,37.5,33-55,88,9
Kree Sentinel (Copy 2),44.14,42.72,176-236,412,35
Abandon Attachments (Copy 1),44.14,41.63,97-136,233,20
Bender's Waterskin (Copy 1),44.12,40.7,70-102,172,19
Bot Bashing Time (Copy 1),44.12,39.86,55-83,138,17
Book of Mazarbul (Copy 1),44.1,37.89,36-59,95,8
Slithering Cryptid (Copy 1),44.09,40.26,62-92,154,15
"Casey Jones, Vigilante (Copy 1)",44.09,22.22,6-21,27,4
"Gimli, Mournful Avenger (Copy 1)",44.09,22.22,6-21,27,2
Topiary Panther (Copy 1),44.07,39.71,54-82,136,11
Mechanized Ninja Cavalry (Copy 1),44.07,41.48,95-134,229,20
Serpent Specialist (Copy 2),44.06,42.31,143-195,338,29
Lurking Lizards (Copy 1),44.04,41.76,109-152,261,21
Cowabunga! (Copy 1),44.03,39.86,57-86,143,17
Pirate Peddlers (Copy 1),44.03,40.93,79-114,193,16
"Sun-Spider, Nimble Webber (Copy 1)",44.03,26.47,9-25,34,4
Fancy Footwork (Copy 1),44.0,38.0,38-62,100,8
Rodeo Pyromancers (Copy 1),43.99,41.2,89-127,216,22
Breaking of the Fellowship (Copy 1),43.98,41.38,96-136,232,20
White Lotus Hideout (Copy 1),43.98,37.36,34-57,91,9
Swamp (Copy 3),43.97,41.53,103-145,248,25
"SP//dr, Piloted by Peni (Copy 1)",43.97,40.13,63-94,157,15
Visage Bandit (Copy 1),43.97,29.27,12-29,41,5
Superior Spider-Man (Copy 1),43.97,6.25,1-15,16,3
Atlantean Cavalry (Copy 3),43.96,36.59,30-52,82,8
Hero in Training (Copy 3),43.92,37.08,33-56,89,10
"Human Torch, Johnny Storm (Copy 2)",43.92,31.25,15-33,48,4
Hog-Monkey (Copy 1),43.92,40.82,80-116,196,18
Agent of Atlas (Copy 1),43.91,43.47,602-783,1385,86
"Speedball, New Warrior (Copy 1)",43.9,43.1,328-433,761,50
Meteor Sword (Copy 1),43.9,17.39,4-19,23,5
A.I.M. Labs (Copy 1),43.89,43.21,388-510,898,62
HYDRA Troopers (Copy 3),43.89,38.84,47-74,121,10
Punk Frogs (Copy 1),43.88,40.45,72-106,178,21
"Hama, the Bloodbender (Copy 1)",43.88,28.21,11-28,39,5
Foggy Swamp Hunters (Copy 1),43.87,39.87,61-92,153,16
"Tigra, Feline Fury (Copy 2)",43.87,32.73,18-37,55,6
Project Deathlok Soldier (Copy 3),43.86,0.0,0-14,14,2
"Quicksilver, Brash Blur (Copy 2)",43.86,0.0,0-14,14,2
Waterbender Ascension (Copy 1),43.85,36.78,32-55,87,7
Oscorp Industries (Copy 1),43.85,23.33,7-23,30,3
Northern Air Temple (Copy 1),43.85,23.33,7-23,30,3
Plains (Copy 1),43.84,43.57,972-1259,2231,139
Reckless Lackey (Copy 1),43.84,38.66,46-73,119,9
Furtive Courier (Copy 1),43.84,30.43,14-32,46,5
Lash of the Balrog (Copy 1),43.83,39.26,53-82,135,14
Skulduggery (Copy 1),43.82,35.9,28-50,78,9
Evil's Thrall (Copy 1),43.81,42.9,293-390,683,43
"Invisible Woman, Sue Storm (Copy 1)",43.81,42.97,318-422,740,48
Kid Loki (Copy 2),43.81,37.23,35-59,94,6
Hire a Crew (Copy 1),43.79,43.34,592-774,1366,92
Rowdy Snowballers (Copy 2),43.79,32.08,17-36,53,7
Giant-Sized Flying Ant (Copy 3),43.79,32.08,17-36,53,4
Atlantean Cavalry (Copy 1),43.78,43.32,597-781,1378,93
Armor Wars (Copy 1),43.78,41.72,126-176,302,20
Arc Reactor (Copy 1),43.78,42.15,161-221,382,24
Agent of Atlas (Copy 2),43.78,42.21,168-230,398,30
Pym Particles (Copy 1),43.76,42.86,297-396,693,43
Daily Bugle Reporters (Copy 1),43.75,41.27,104-148,252,23
The Torment of Gollum (Copy 1),43.75,37.96,41-67,108,10
Brimstone Roundup (Copy 1),43.75,33.33,20-40,60,7
Forensic Researcher (Copy 1),43.75,21.43,6-22,28,2
"Old Hob, Alleycat Blues (Copy 1)",43.75,29.55,13-31,44,6
Novice Inspector (Copy 1),43.73,40.76,86-125,211,17
"Captain America, Wings of Freedom (Copy 1)",43.72,41.49,117-165,282,20
Pym Technologies (Copy 2),43.71,34.33,23-44,67,8
Cunning Coyote (Copy 1),43.71,34.33,23-44,67,5
Commercial District (Copy 1),43.7,10.53,2-17,19,3
Futurist Forge (Copy 3),43.7,25.71,9-26,35,4
Wakandan Royal Guard (Copy 2),43.69,42.04,161-222,383,29
"Hulkling, Burgeoning Bruiser (Copy 2)",43.67,32.76,19-39,58,7
"Wingnut, Bat on the Belfry (Copy 1)",43.67,32.76,19-39,58,7
S.H.I.E.L.D. Spy Kit (Copy 2),43.65,41.64,132-185,317,26
With Great Power . . . (Copy 1),43.65,35.8,29-52,81,6
Bovine Intervention (Copy 1),43.64,38.97,53-83,136,10
Volcanic Villain (Copy 1),43.63,43.12,539-711,1250,80
Unauthorized Exit (Copy 1),43.63,37.5,39-65,104,10
"Silver Sable, Mercenary Leader (Copy 1)",43.62,30.61,15-34,49,9
Yuyan Archers (Copy 1),43.61,40.72,90-131,221,18
S.H.I.E.L.D. Deployment Drone (Copy 1),43.61,43.18,636-837,1473,97
Cat-Owl (Copy 1),43.6,40.21,76-113,189,19
"Ronin, Shadow Stalker (Copy 2)",43.6,34.72,25-47,72,8
Haradrim Spearmaster (Copy 2),43.59,5.88,1-16,17,2
Pumpkin Bombardment (Copy 1),43.58,40.31,79-117,196,23
